actor,instrument,objective,sector,climate_amount_usd_m
European Investment Bank,debt,adaptation,other,564.40602
EU Institutions / European Commission,grant,both,energy,561.871788
World Bank (IBRD/IDA),debt,mitigation,waste,550.8565
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,adaptation,other,549.5358544000001
European Bank for Reconstruction and Development ,debt,both,water,548.23183
France / French Development Agency,debt,both,buildings,543.336752
EU Institutions / European Commission,grant,both,finance_policy,539.9363206
United States / International Development Finance Corporation,equity,mitigation,transport,537.5
Asian Development Bank,debt,adaptation,agriculture_land_use,536.662
Japan / Japanese International Co-operation Agency,debt,adaptation,water,532.1565478
African Development Bank,other,mitigation,other,516.69541937286
United Kingdom / British International Investment,equity,mitigation,energy,515.7645736000001
European Investment Bank,equity,mitigation,energy,512.6348961722595
World Bank (IBRD/IDA),grant,both,health,511.271
Germany / KfW Bankengruppe (KfW banking group),debt,adaptation,water,503.9947138
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,finance_policy,492.684482
Norway / NORFUND,equity,mitigation,energy,480.1077952
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),debt,mitigation,energy,478.307526
European Investment Bank,debt,adaptation,transport,472.38010399999996
France / Proparco,debt,mitigation,industry_mining,467.164606
Inter American Development Bank,other,mitigation,transport,465.1033630746
IMF Resilience and Sustainability Trust,debt,mitigation,energy,459.4008504
Japan / Japanese International Co-operation Agency,debt,adaptation,transport,458.276818
Inter American Development Bank,other,adaptation,agriculture_land_use,441.45804499999997
Asian Development Bank,debt,adaptation,transport,440.05250703999997
United Kingdom / British International Investment,equity,mitigation,finance_policy,437.7058924
France / French Development Agency,debt,mitigation,other,436.94570619999996
African Development Bank,other,adaptation,water,434.38891003942
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,water,415.3598256
African Development Bank,other,mitigation,transport,414.37001478214
EU Institutions / European Commission,grant,adaptation,other,413.0129804
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,other,409.53639560000005
United States / Agency for International Development,grant,adaptation,agriculture_land_use,404.3257874
France / Proparco,debt,mitigation,energy,403.293507
Global Environment Facility / GEF Trust Fund,grant,both,agriculture_land_use,386.3102508
Asian Development Bank,debt,mitigation,transport,381.6845893980161
African Development Bank,other,mitigation,energy,379.97045983148
EU Institutions / European Commission,grant,mitigation,industry_mining,377.9225402
Asian Development Bank,debt,both,education,371.02503834
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,mitigation,energy,369.8794506
Germany / Federal Ministry for Economic Cooperation and Development,debt,mitigation,energy,363.67019799999997
United States / Agency for International Development,grant,mitigation,energy,355.864003
France / French Development Agency,debt,both,transport,351.58811860000003
France / French Development Agency,debt,both,other,337.3842764
Asian Development Bank,debt,both,industry_mining,334.186
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,finance_policy,330.2615348
European Investment Bank,debt,both,agriculture_land_use,329.61773095999996
EU Institutions / European Commission,grant,both,industry_mining,311.2678002
Asian Development Bank,grant,both,agriculture_land_use,306.42172543412664
France / French Development Agency,debt,adaptation,buildings,303.4148568
Inter American Development Bank,other,both,finance_policy,298.747523
European Investment Bank,guarantee,mitigation,energy,290.9743652498331
France / Proparco,debt,mitigation,finance_policy,286.983029
France / French Development Agency,debt,adaptation,water,286.582357
France / French Development Agency,debt,both,agriculture_land_use,283.8800764
Norway / NORFUND,debt,mitigation,energy,282.567213
World Bank (IBRD/IDA),grant,both,education,280.613
European Bank for Reconstruction and Development ,debt,both,agriculture_land_use,279.25741
Asian Development Bank,grant,both,energy,273.3975252203667
World Bank (IBRD/IDA),debt,mitigation,education,269.7096
World Bank (IBRD/IDA),other,both,finance_policy,265.4
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,adaptation,agriculture_land_use,262.286287
World Bank (IBRD/IDA),grant,mitigation,other,261.566
"United Kingdom / Foreign, Commonwealth and Development Office",grant,both,transport,259.1079246
EU Institutions / European Commission,grant,adaptation,agriculture_land_use,255.746431
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,transport,255.15964
United Kingdom / Department of Energy and Climate Change,grant,both,agriculture_land_use,254.99676499999998
EU Institutions / European Commission,grant,adaptation,transport,252.2455978
Norway / Ministry of Climate and Environment,grant,mitigation,finance_policy,249.54176900000002
United States / Agency for International Development,grant,adaptation,water,249.3902028
Asian Development Bank,debt,adaptation,water,248.118
Inter American Development Bank,other,mitigation,agriculture_land_use,247.97490962
European Bank for Reconstruction and Development ,other,both,energy,244.6224
World Bank (IBRD/IDA),other,mitigation,finance_policy,240.0
World Bank (IBRD/IDA),debt,adaptation,education,238.3668
United Kingdom / British International Investment,equity,mitigation,agriculture_land_use,237.093847
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,mitigation,finance_policy,235.2121912
Japan / Japanese International Co-operation Agency,debt,both,industry_mining,235.1549822
Global Environment Facility / GEF Trust Fund,grant,both,other,231.401341
European Investment Bank,guarantee,mitigation,water,230.209
Private Infrastructure Development Group / Emerging Africa Infrastructure Fund,debt,mitigation,energy,220.96
EU Institutions / European Commission,grant,both,water,218.556969
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,agriculture_land_use,218.32750000000001
United Kingdom / Department of Energy and Climate Change,grant,mitigation,agriculture_land_use,216.763906
Council of Europe Development Bank / Council of Europe Development Bank (CEB),debt,adaptation,other,216.262976
United Kingdom / British International Investment,debt,mitigation,finance_policy,213.2753156
EU Institutions / European Commission,grant,adaptation,water,210.3993082
Asian Development Bank,grant,both,water,209.94988898666665
Germany / Federal Ministry for Economic Cooperation and Development,grant,mitigation,agriculture_land_use,207.7805538
France / Proparco,debt,mitigation,buildings,207.25592319999996
France / French Development Agency,debt,adaptation,other,206.536989
World Bank (IBRD/IDA),debt,mitigation,health,206.026
United States / International Development Finance Corporation,debt,both,transport,201.8
Japan / Japanese International Co-operation Agency,debt,adaptation,other,201.6234192
World Bank (IBRD/IDA),grant,adaptation,health,201.2821
Japan / Japanese International Co-operation Agency,debt,adaptation,health,200.64549920000002
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,agriculture_land_use,200.3057196
World Bank (IBRD/IDA),other,both,water,200.0
European Investment Bank,debt,both,industry_mining,199.517
Canada / Global Affairs Canada,debt,both,energy,199.510273
United Kingdom / Department of Energy and Climate Change,grant,mitigation,energy,197.794341
