actor,instrument,objective,sector,climate_amount_usd_m
CGIAR,grant,adaptation,agriculture_land_use,13.036059600000002
United States / Agency for International Development,grant,adaptation,waste,13.016415600000002
Italy / Cassa Depositi e Prestiti,debt,mitigation,energy,12.978585200000001
Nordic Development Fund,grant,both,water,12.978585
France / French Development Agency,debt,mitigation,agriculture_land_use,12.9757784
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,both,buildings,12.9465044
Dutch Postcode Lottery,grant,both,transport,12.867646800000001
France / STOA,equity,mitigation,buildings,12.843584000000002
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,mitigation,buildings,12.830634
Norway / Norwegian Agency for Development Co-operation,grant,both,finance_policy,12.6597874
"United Kingdom / Department for Culture, Media and Sports",grant,adaptation,other,12.647682800000002
Central Emergency Response Fund / Rapid Response,grant,adaptation,water,12.557328000000002
"Austria / Federal Ministry of Climate Action, Environment, Energy, Mobility, Innovation and Technology",grant,mitigation,energy,12.5281682
Finland / FinnFund,debt,mitigation,other,12.4926232
"United Kingdom / Department for Business, Innovation and Skills",grant,both,other,12.3240512
Germany / Federal Ministry of Finance,grant,both,energy,12.277498000000001
United Kingdom / British International Investment,debt,mitigation,industry_mining,12.2535656
Germany / Federal Ministry for Economic Cooperation and Development,grant,adaptation,industry_mining,12.2211344
Belgium / Directorate General for Co-operation and Development,grant,both,water,12.1701306
United Kingdom / Scottish Government,grant,adaptation,finance_policy,12.156485
Germany / Federal Ministry for Economic Cooperation and Development,debt,both,energy,12.113346400000001
Korea / Korea International Cooperation Agency,grant,both,transport,12.0716982
Belgium / Directorate General for Co-operation and Development,grant,both,energy,12.061527400000001
Wellcome Trust,grant,adaptation,other,12.029725200000001
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,mitigation,industry_mining,12.002496
Private Infrastructure Development Group / Emerging Africa Infrastructure Fund,debt,adaptation,energy,12.0
Private Infrastructure Development Group / InfraCo Africa,equity,both,agriculture_land_use,12.0
Germany / Federal Foreign Office,grant,adaptation,transport,11.984409000000001
United Kingdom / Department for Environment Food and Rural Affairs,grant,both,transport,11.9564582
Spain / Compañía Española de Financiación del Desarrollo,debt,mitigation,energy,11.948775
Nordic Development Fund,grant,adaptation,other,11.897037000000001
Switzerland / Swiss Agency for Development and Co-operation,grant,adaptation,transport,11.8532092
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,both,water,11.782202
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,mitigation,finance_policy,11.593939200000001
Switzerland / State Secretariat for Economic Affairs,grant,adaptation,water,11.5447836
United Kingdom / Department for Environment Food and Rural Affairs,grant,mitigation,other,11.502126
Ireland / Department of Foreign Affairs,grant,adaptation,transport,11.4474226
Switzerland / State Secretariat for Economic Affairs,grant,mitigation,water,11.4422768
Gordon and Betty Moore Foundation,grant,adaptation,other,11.420788
Sweden / Swedish International Development Authority,grant,adaptation,energy,11.4079674
New Zealand / Ministry of Foreign Affairs and Trade,grant,both,education,11.387275
Switzerland / State Secretariat for Economic Affairs,grant,mitigation,buildings,11.368861200000001
Japan / Ministry of Foreign Affairs,grant,adaptation,health,11.289189200000001
Australia / Australian Government,grant,both,health,11.195791
Gordon and Betty Moore Foundation,grant,adaptation,agriculture_land_use,11.1805716
Switzerland / State Secretariat for Economic Affairs,grant,adaptation,buildings,11.1292784
Global Environment Facility / Least Developed Countries Trust Fund (LDCF),grant,adaptation,finance_policy,10.995937999999999
Canada / Global Affairs Canada,grant,both,energy,10.9738756
France / French Development Agency,grant,adaptation,education,10.965876000000002
UNEP / Environment Fund,grant,both,finance_policy,10.947519000000002
Switzerland / Swiss Agency for Development and Co-operation,grant,both,water,10.858381600000001
France / CIRAD,grant,mitigation,agriculture_land_use,10.848797600000001
European Bank for Reconstruction and Development ,other,both,agriculture_land_use,10.824
Austria / Austrian Development Bank,debt,mitigation,water,10.8131488
Germany / Federal Ministry for Economic Cooperation and Development,equity,both,agriculture_land_use,10.8131488
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,transport,10.773401400000001
Canada / Environment and Climate Change Canada,grant,both,finance_policy,10.7622134
Dutch Postcode Lottery,grant,adaptation,transport,10.7505496
"United Kingdom / Department for Culture, Media and Sports",grant,both,other,10.6726532
Norway / Ministry of Foreign Affairs,grant,adaptation,energy,10.649055
Japan / Ministry of Foreign Affairs,grant,both,finance_policy,10.6237312
European Investment Bank,equity,adaptation,other,10.53
Nordic Development Fund,grant,both,energy,10.5
Korea / Miscellaneous,grant,both,other,10.472797000000002
Children's Investment Fund Foundation,grant,mitigation,industry_mining,10.3952
Belgium / Directorate General for Co-operation and Development,grant,adaptation,agriculture_land_use,10.3801144
France / Ministry of Foreign Affairs,grant,both,finance_policy,10.3779856
Laudes Foundation,grant,mitigation,other,10.320551
Japan / Ministry of Foreign Affairs,grant,adaptation,education,10.279526
UNDP,grant,adaptation,other,10.2794958
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,industry_mining,10.2393724
United Kingdom / UK-India Tech Start-up Fund,equity,both,finance_policy,10.221029600000001
United Kingdom / British International Investment,debt,mitigation,transport,10.19018
Belgium / Directorate General for Co-operation and Development,grant,adaptation,other,10.121855400000001
Switzerland / State Secretariat for Economic Affairs,grant,both,water,10.080396799999999
Global Environment Facility / GEF Trust Fund,debt,mitigation,transport,10.05
Private Infrastructure Development Group / GAP,grant,mitigation,transport,10.048632
Global Environment Facility / Least Developed Countries Trust Fund (LDCF),grant,both,agriculture_land_use,10.0
World Bank (IBRD/IDA),other,adaptation,energy,10.0
Global Environment Facility / Least Developed Countries Trust Fund (LDCF),grant,adaptation,transport,10.0
World Bank (IBRD/IDA),grant,mitigation,industry_mining,10.0
Adaptation Fund,grant,adaptation,transport,10.0
World Bank (IBRD/IDA),other,both,education,10.0
Nordic Development Fund,equity,mitigation,energy,10.0
Denmark / Ministry of Foreign Affairs,grant,adaptation,industry_mining,9.809172799999999
Private Infrastructure Development Group / InfraCo Asia,equity,mitigation,energy,9.8
Germany / Federal Ministry of Food and Agriculture,grant,both,agriculture_land_use,9.7409476
World Bank (IBRD/IDA),grant,mitigation,education,9.721
Finland / Ministry of Foreign Affairs,grant,both,agriculture_land_use,9.7013662
Belgium / Directorate General for Co-operation and Development,grant,adaptation,health,9.5868778
Japan / Japanese International Co-operation Agency,grant,both,agriculture_land_use,9.5165574
Italy / Third Party funds administered by CDP,debt,both,buildings,9.5155708
Wellcome Trust,grant,both,health,9.491538199999999
William and Flora Hewlett Foundation / William & Flora Hewlett Foundation,grant,both,transport,9.45
Switzerland / Swiss Agency for Development and Co-operation,grant,mitigation,other,9.4180024
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,industry_mining,9.3414578
Norway / NORFUND,debt,adaptation,agriculture_land_use,9.319067
Food and Agriculture Organisation / Core resources - developmental,grant,both,transport,9.3183586
Austria / Austrian Development Agency,grant,both,transport,9.2189248
New Zealand / Ministry of Foreign Affairs and Trade,grant,mitigation,buildings,9.071118
Australia / Australian Government,grant,mitigation,finance_policy,9.0701008
Asian Development Bank,grant,both,industry_mining,9.02303686
Switzerland / State Secretariat for Economic Affairs,grant,both,other,8.9968948
John D. and Catherine T. MacArthur Foundation / John & Catherine MacArthur Foundation,grant,mitigation,energy,8.974
Denmark / Ministry of Foreign Affairs,grant,mitigation,finance_policy,8.8436524
People's Postcode Lottery,grant,both,other,8.7358104
Laudes Foundation,grant,mitigation,transport,8.720670199999999
Norway / NORFUND,equity,adaptation,energy,8.7198712
Global Environment Facility / GEF Trust Fund,grant,adaptation,industry_mining,8.7060916
Council of Europe Development Bank / Council of Europe Development Bank (CEB),debt,mitigation,buildings,8.6523904
Italy / Cassa Depositi e Prestiti,debt,mitigation,industry_mining,8.6523904
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,health,8.55109
Finland / FinnFund,debt,mitigation,finance_policy,8.4904028
Germany / Deutsche Investitions- und Entwicklungsgesellschaft mbH (German Investment and Development Company),equity,mitigation,finance_policy,8.433076400000001
Sweden / SwedFund,equity,both,agriculture_land_use,8.3341312
Canada / Global Affairs Canada,grant,adaptation,industry_mining,8.332181
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,both,finance_policy,8.2768982
Norway / NORFUND,debt,mitigation,finance_policy,8.2672096
Finland / Ministry of Foreign Affairs,grant,adaptation,finance_policy,8.263290399999999
Asian Development Bank,grant,adaptation,transport,8.19
Austria / Austrian Development Agency,grant,adaptation,energy,8.1561752
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,finance_policy,8.150722
David and Lucile Packard Foundation / David & Lucile Packard Foundation,grant,mitigation,energy,8.1
United States / Agency for International Development,grant,both,education,8.080123200000001
Hungary / Hungarian Export Import Bank PLC,debt,mitigation,energy,8.0
Germany / Federal Ministry for Economic Cooperation and Development,equity,both,finance_policy,7.960198800000001
Canada / Environment and Climate Change Canada,grant,mitigation,transport,7.798448
Global Environment Facility / Least Developed Countries Trust Fund (LDCF),grant,adaptation,other,7.787058999999999
Germany / KfW Bankengruppe (KfW banking group),debt,mitigation,industry_mining,7.785467199999999
Italy / Ministry of Environment and Energy Security,grant,both,finance_policy,7.7772492
Norway / Ministry of Foreign Affairs,grant,both,agriculture_land_use,7.7758332
Austria / Austrian Development Agency,grant,both,energy,7.7521394
Belgium / Directorate General for Co-operation and Development,grant,both,industry_mining,7.747751
UBS Optimus Foundation,grant,both,finance_policy,7.7263408
Adaptation Fund,grant,adaptation,energy,7.707
Austria / Austrian Development Agency,grant,mitigation,energy,7.6604554
Germany / Federal Ministry of Food and Agriculture,grant,adaptation,agriculture_land_use,7.6075024
Global Environment Facility / Global Biodiversity Framework Fund (GBFF),grant,mitigation,other,7.605840000000001
Germany / Federal Ministry of Finance,grant,mitigation,energy,7.572985
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,adaptation,transport,7.5499658
Norway / Norwegian Agency for Development Co-operation,grant,both,transport,7.499265599999999
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,mitigation,other,7.4590176
Belgium / Directorate General for Co-operation and Development,grant,both,education,7.4318022
Lithuania / Ministry of National Defense,grant,both,industry_mining,7.43024
Luxembourg / Ministry of Foreign and European Affairs,grant,adaptation,other,7.3598622
Austria / Austrian Development Bank,debt,mitigation,transport,7.3529412
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,both,energy,7.3477496
Sweden / Swedish International Development Authority,grant,adaptation,buildings,7.2944184000000005
Austria / Federal Ministry of Finance,grant,both,finance_policy,7.288712
France / French Development Agency,grant,both,industry_mining,7.2704
Spain / Spanish Agency for International Development Co-operation,grant,mitigation,agriculture_land_use,7.2554914
Arcadia / Arcadia Fund,grant,mitigation,transport,7.2
Switzerland / Swiss Investment Fund for Emerging Markets,debt,mitigation,finance_policy,7.2
Australia / Australian Government,grant,adaptation,buildings,7.042798400000001
France / French Development Agency,debt,adaptation,transport,6.9204152
France / French Development Agency,grant,mitigation,finance_policy,6.9109866
United Kingdom / Department of Energy and Climate Change,grant,mitigation,transport,6.898549
Switzerland / State Secretariat for Economic Affairs,grant,both,agriculture_land_use,6.8732588
France / French Development Agency,grant,mitigation,other,6.8726528
France / French Development Agency,grant,mitigation,buildings,6.81364
Japan / Ministry of Foreign Affairs,grant,adaptation,finance_policy,6.7798115999999995
France / French Development Agency,grant,adaptation,health,6.7777456
United States / Agency for International Development,grant,mitigation,education,6.7687344000000005
Germany / Federal Ministry for Economic Cooperation and Development,equity,mitigation,education,6.758218
IKEA Foundation,grant,both,finance_policy,6.747258800000001
Belgium / Directorate General for Co-operation and Development,grant,mitigation,other,6.733496400000001
Belgium / Directorate General for Co-operation and Development,grant,both,buildings,6.732858199999999
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,energy,6.703528
United Kingdom / Department of Health  and Social Care,grant,adaptation,transport,6.6449864000000005
Canada / Global Affairs Canada,grant,both,finance_policy,6.6002262
Global Environment Facility / GEF Trust Fund,equity,both,transport,6.57
Denmark / Ministry of Foreign Affairs,grant,adaptation,buildings,6.5053658
World Bank (IBRD/IDA),other,mitigation,water,6.5
Belgium / Belgian Investment Company for Developing Countries,equity,mitigation,energy,6.497866
France / Proparco,debt,adaptation,industry_mining,6.4878892
Japan / Japanese International Co-operation Agency,grant,adaptation,transport,6.479349200000001
Sweden / Swedish International Development Authority,grant,mitigation,finance_policy,6.470230600000001
Sweden / Swedish International Development Authority,grant,mitigation,transport,6.4343372
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,health,6.420596000000001
EU Institutions / European Commission,grant,mitigation,waste,6.401384
United States / State Department,grant,mitigation,agriculture_land_use,6.3966728
United Kingdom / Department of Energy and Climate Change,grant,both,transport,6.384309999999999
Ford Foundation,grant,adaptation,other,6.37478
Austria / Austrian Development Agency,grant,adaptation,agriculture_land_use,6.367623200000001
Luxembourg / Ministry of Foreign and European Affairs,grant,both,water,6.341046800000001
Canada / Environment and Climate Change Canada,grant,both,other,6.2836944
United States / Millennium Challenge Corporation,grant,adaptation,other,6.2669999999999995
Sweden / Swedish International Development Authority,grant,mitigation,water,6.2604334
Finland / FinnFund,equity,mitigation,other,6.2463120000000005
Korea / Korea International Cooperation Agency,grant,both,other,6.2275032
Japan / Japanese International Co-operation Agency,grant,mitigation,agriculture_land_use,6.201309
William and Flora Hewlett Foundation / William & Flora Hewlett Foundation,grant,both,finance_policy,6.2
"Germany / Federal Ministry for the Enviroment, Nature Conservation, Nuclear Safety and Consumer Protection",grant,mitigation,energy,6.1719518
Belgium / Directorate General for Co-operation and Development,grant,mitigation,energy,6.1709962
United Kingdom / British International Investment,equity,mitigation,other,6.1498856
William and Flora Hewlett Foundation / William & Flora Hewlett Foundation,grant,mitigation,industry_mining,6.1398696
France / Ministry of Foreign Affairs,grant,both,agriculture_land_use,6.1278226
Spain / Spanish Agency for International Development Co-operation,grant,both,agriculture_land_use,6.1178798
Germany / Federal Ministry for Economic Cooperation and Development,grant,both,health,6.112148
Denmark / Investment Fund For Developing Countries,equity,both,agriculture_land_use,6.1055564
Switzerland / State Secretariat for Economic Affairs,grant,both,finance_policy,6.0990112
Norway / Ministry of Foreign Affairs,grant,mitigation,energy,6.0866716
"United Kingdom / Foreign, Commonwealth and Development Office",equity,mitigation,industry_mining,6.055960000000001
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,industry_mining,6.0327492000000005
Global Environment Facility / GEF Trust Fund,equity,both,agriculture_land_use,6.0
IKEA Foundation,grant,adaptation,energy,5.9666158
Norway / Ministry of Climate and Environment,grant,mitigation,transport,5.966192
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,health,5.933619200000001
Korea / Miscellaneous,grant,adaptation,water,5.924513800000001
Japan / Ministry of Foreign Affairs,grant,both,agriculture_land_use,5.9232946
Denmark / Investment Fund For Developing Countries,debt,mitigation,transport,5.9061580000000005
Netherlands / Dutch Good Growth Fund – Financing Local SMEs,equity,both,transport,5.891641
Netherlands / Dutch Good Growth Fund – Financing Local SMEs,equity,mitigation,transport,5.869400000000001
Switzerland / Swiss Agency for Development and Co-operation,grant,mitigation,buildings,5.855461200000001
Germany / Federal Foreign Office,grant,adaptation,finance_policy,5.8381198
World Bank (IBRD/IDA),debt,both,waste,5.805
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,adaptation,health,5.795993200000001
Ireland / Department of Foreign Affairs,grant,both,education,5.7908745999999995
Austria / Federal Ministry of Finance,grant,both,energy,5.775512
Sweden / Swedish International Development Authority,grant,mitigation,other,5.763821200000001
Germany / Federal Ministry of Education and Research,grant,adaptation,water,5.738495
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,education,5.7128262
United Kingdom / Department for Environment Food and Rural Affairs,grant,both,health,5.637778
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,mitigation,energy,5.6237732
Norway / Ministry of Foreign Affairs,grant,mitigation,other,5.6216964
Canada / International Development Research Centre,grant,adaptation,other,5.6025606
Central Emergency Response Fund / Rapid Response,grant,adaptation,transport,5.592272
Global Environment Facility / GEF Trust Fund,grant,adaptation,finance_policy,5.5789496000000005
New Zealand / Ministry of Foreign Affairs and Trade,grant,both,water,5.556043
Ireland / Department of Foreign Affairs,grant,both,energy,5.547557
Norway / Ministry of Foreign Affairs,grant,adaptation,transport,5.5128862
UNFPA,grant,adaptation,other,5.466972
"Ireland / Department of Agriculture, Food and the Marine",grant,adaptation,other,5.407744
France / French Development Agency,debt,mitigation,industry_mining,5.407744
Nordic Development Fund,grant,adaptation,transport,5.407744
Ireland / Miscellaneous,grant,adaptation,other,5.406574
"Ireland / Department of Agriculture, Food and the Marine",grant,both,finance_policy,5.406574
Nordic Development Fund,grant,both,other,5.406574
Nordic Development Fund,grant,both,finance_policy,5.406574
United Kingdom / Department for Environment Food and Rural Affairs,grant,both,education,5.4043814
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,other,5.389352000000001
Nordic Development Fund,grant,mitigation,energy,5.325
"United Kingdom / Foreign, Commonwealth and Development Office",grant,mitigation,education,5.2924847999999995
Inter American Development Bank,other,mitigation,industry_mining,5.26
Lithuania / Ministry of Environment,grant,mitigation,energy,5.231021
Korea / Miscellaneous,grant,both,transport,5.2299414
Finland / FinnFund,debt,adaptation,finance_policy,5.2052596
Belgium / Directorate General for Co-operation and Development,debt,adaptation,water,5.1903116
Germany / Federal Ministry for Economic Cooperation and Development,equity,both,transport,5.1903116
Ireland / Department of Foreign Affairs,grant,both,transport,5.169385200000001
Canada / Environment and Climate Change Canada,grant,adaptation,buildings,5.154281
Canada / International Development Research Centre,grant,both,health,5.129542
Global Environment Facility / Special Climate Change Trust Fund (SCCF),grant,adaptation,other,5.117522
Global Environment Facility / GEF Trust Fund,equity,both,industry_mining,5.1
Switzerland / Swiss Agency for Development and Co-operation,grant,both,industry_mining,5.083373
CGIAR,grant,mitigation,agriculture_land_use,5.0813392
Asian Development Bank,debt,mitigation,health,5.08
Korea / Miscellaneous,grant,mitigation,buildings,5.0197008
Global Environment Facility / Least Developed Countries Trust Fund (LDCF),grant,adaptation,agriculture_land_use,5.0
Bezos Earth Fund,grant,mitigation,other,5.0
John D. and Catherine T. MacArthur Foundation / John & Catherine MacArthur Foundation,grant,mitigation,agriculture_land_use,5.0
Ford Foundation,grant,adaptation,finance_policy,4.96352
Global Environment Facility / GEF Trust Fund,equity,both,finance_policy,4.95
Global Environment Facility / GEF Trust Fund,equity,both,energy,4.95
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,adaptation,water,4.9488562
Korea / Korea International Cooperation Agency,grant,adaptation,energy,4.9396544
Japan / Japanese International Co-operation Agency,grant,mitigation,buildings,4.9388119999999995
Ford Foundation,grant,mitigation,finance_policy,4.926
Liechtenstein / Ministry of Foreign Affairs,grant,adaptation,agriculture_land_use,4.9049882
World Bank (IBRD/IDA),other,mitigation,transport,4.9
World Bank (IBRD/IDA),grant,mitigation,health,4.8774999999999995
IKEA Foundation,grant,adaptation,transport,4.86697
United States / Millennium Challenge Corporation,grant,mitigation,transport,4.800000000000001
Austria / Austrian Development Bank,debt,mitigation,other,4.800000000000001
"United Kingdom / Foreign, Commonwealth and Development Office",grant,adaptation,industry_mining,4.7800146
Spain / Ministry of the Environment and Rural and Marine Environs,grant,both,other,4.7750867999999995
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,buildings,4.758178
Japan / Ministry of Foreign Affairs,grant,mitigation,transport,4.737125000000001
Belgium / Flanders Official Regional Ministries,grant,adaptation,agriculture_land_use,4.7155214
Ireland / Department of Foreign Affairs,grant,adaptation,health,4.691234
"Germany / Federal Ministry for the Enviroment, Nature Conservation, Nuclear Safety and Consumer Protection",grant,mitigation,waste,4.664094
Canada / Provincial Governments and municipalities,grant,both,other,4.640889
Sweden / Swedish International Development Authority,grant,adaptation,industry_mining,4.623672
Ireland / Department of Foreign Affairs,grant,adaptation,water,4.6150084
New Zealand / Ministry of Foreign Affairs and Trade,grant,both,health,4.604617
Switzerland / State Secretariat for Economic Affairs,grant,mitigation,transport,4.5917482000000005
Korea / Ministry of Strategy and Finance,grant,both,other,4.5650889999999995
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,mitigation,agriculture_land_use,4.5508012
Finland / Ministry of Foreign Affairs,grant,mitigation,other,4.5323506
Japan / Ministry of Foreign Affairs,grant,adaptation,energy,4.5143676
France / French Development Agency,grant,mitigation,industry_mining,4.4982050000000005
Central Emergency Response Fund / Under Funded,grant,adaptation,other,4.4976
Japan / Japanese International Co-operation Agency,debt,both,water,4.4796708
Belgium / Directorate General for Co-operation and Development,grant,adaptation,water,4.4704448
Austria / Federal Ministry of Finance,grant,both,other,4.439656
Austria / Federal Ministry of Finance,grant,both,transport,4.43435
Ireland / Department of Foreign Affairs,grant,both,buildings,4.4296218
Global Environment Facility / GEF Trust Fund,debt,mitigation,finance_policy,4.410432
Australia / Australian Government,grant,mitigation,education,4.352366
Asian Development Bank,grant,mitigation,other,4.3500000000000005
Norway / Ministry of Foreign Affairs,grant,mitigation,agriculture_land_use,4.349825
Switzerland / Swiss Agency for Development and Co-operation,grant,adaptation,industry_mining,4.3379684
Italy / Ministry of Economy and Finance,grant,mitigation,energy,4.3261952
Austria / Austrian Development Bank,equity,both,energy,4.326195
Gates Foundation / Bill & Melinda Gates Foundation,grant,adaptation,water,4.31921
UNDP,grant,adaptation,finance_policy,4.3105072
Iceland / Ministry of Foreign Affairs,grant,both,water,4.3016912000000005
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,both,industry_mining,4.2973464
Belgium / Flanders Official Regional Ministries,grant,both,agriculture_land_use,4.291247
"Germany / Federal Ministry for the Enviroment, Nature Conservation, Nuclear Safety and Consumer Protection",grant,adaptation,water,4.267984
France / COOP DECENTRAL/MAE,grant,both,water,4.2670738
Korea / Korea International Cooperation Agency,grant,mitigation,buildings,4.2498818
Ireland / Department of Foreign Affairs,grant,mitigation,other,4.2144008
Korea / Korea International Cooperation Agency,grant,adaptation,education,4.203664
Sweden / SwedFund,equity,mitigation,finance_policy,4.1670656
People's Postcode Lottery,grant,adaptation,finance_policy,4.1650692
Sweden / SwedFund,grant,mitigation,energy,4.1591702
France / French Development Agency,grant,both,energy,4.1369240000000005
John D. and Catherine T. MacArthur Foundation / John & Catherine MacArthur Foundation,grant,adaptation,energy,4.114000000000001
Japan / Japanese International Co-operation Agency,grant,mitigation,water,4.087271
Korea / Miscellaneous,grant,mitigation,health,4.070914
United Kingdom / British International Investment,debt,adaptation,buildings,4.012968
United States / International Development Finance Corporation,equity,both,transport,4.0
Korea / Korea International Cooperation Agency,grant,mitigation,education,4.0
Private Infrastructure Development Group / InfraCo Asia,equity,mitigation,transport,4.0
Inter American Development Bank,other,both,waste,4.0
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,adaptation,finance_policy,3.9902138000000003
Finland / Ministry of Foreign Affairs,grant,adaptation,other,3.9656966000000002
Austria / Austrian Development Bank,debt,adaptation,transport,3.9600000000000004
Luxembourg / Ministry of Foreign and European Affairs,grant,both,energy,3.9374890000000002
Canada / Miscellaneous,grant,both,agriculture_land_use,3.9246568
Germany / Free State of Bavaria,grant,both,agriculture_land_use,3.9170286
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,education,3.9118648000000005
Global Environment Facility / GEF Trust Fund,debt,both,finance_policy,3.9093216
Netherlands / Ministry of Foreign Affairs of the Netherlands,grant,mitigation,transport,3.8927335999999997
United Kingdom / Department of Health  and Social Care,grant,adaptation,water,3.860603
Children's Investment Fund Foundation,grant,mitigation,energy,3.842465
United Kingdom / Department of Health  and Social Care,grant,mitigation,health,3.839872
Korea / Ministry of Strategy and Finance,grant,both,finance_policy,3.8316969999999997
Laudes Foundation,grant,mitigation,finance_policy,3.8224120000000004
"United Kingdom / Foreign, Commonwealth and Development Office",grant,mitigation,buildings,3.8195646
Finland / FinnFund,debt,mitigation,energy,3.8019192
Arcadia / Arcadia Fund,grant,mitigation,agriculture_land_use,3.795
Council of Europe Development Bank / Council of Europe Development Bank (CEB),debt,mitigation,energy,3.785421
Spain / Ministry of Economy and Business,grant,mitigation,transport,3.784602
Austria / Federal Ministry of Finance,grant,adaptation,other,3.784602
Spain / Spanish Agency for International Development Co-operation,grant,both,other,3.7758132
France / COOP DECENTRAL/MAE,grant,both,agriculture_land_use,3.7687048
"Japan / Ministry of Agriculture, Forestry and Fisheries",grant,adaptation,agriculture_land_use,3.7669864
Global Environment Facility / Global Biodiversity Framework Fund (GBFF),grant,mitigation,finance_policy,3.74616
Spain / Spanish Agency for International Development Co-operation,grant,adaptation,energy,3.7328558000000003
Global Environment Facility / GEF Trust Fund,grant,adaptation,health,3.7251992000000005
Belgium / Directorate General for Co-operation and Development,grant,adaptation,buildings,3.7110472000000003
Switzerland / Swiss Agency for Development and Co-operation,grant,mitigation,finance_policy,3.6807734
Spain / Ministry of Economy and Business,grant,mitigation,energy,3.677172
Norway / Norwegian Agency for Development Co-operation,grant,adaptation,buildings,3.656604
Canada / Environment and Climate Change Canada,grant,both,agriculture_land_use,3.649635
Canada / Environment and Climate Change Canada,grant,both,industry_mining,3.635535
Belgium / Flanders Official Regional Ministries,grant,adaptation,water,3.627578
John D. and Catherine T. MacArthur Foundation / John & Catherine MacArthur Foundation,grant,both,transport,3.62
People's Postcode Lottery,grant,adaptation,other,3.6146176
Denmark / Ministry of Foreign Affairs,grant,mitigation,buildings,3.6124944
Global Environment Facility / Special Climate Change Trust Fund (SCCF),grant,adaptation,industry_mining,3.6
Austria / Austrian Development Bank,debt,both,other,3.6
Korea / Miscellaneous,grant,both,water,3.5595804
Spain / Spanish Agency for International Development Co-operation,grant,mitigation,finance_policy,3.5463342000000004
Global Environment Facility / GEF Trust Fund,grant,both,health,3.4839992000000004
UNRWA,grant,both,water,3.4395392
Australia / Australian Government,grant,mitigation,transport,3.4169162
Luxembourg / Ministry of Foreign and European Affairs,grant,adaptation,health,3.4053142000000003
Australia / Australian Government,grant,both,industry_mining,3.3953336000000003
Germany / Free and Hanseatic City of Hamburg,grant,adaptation,health,3.3945896000000007
Norway / Norwegian Agency for Development Co-operation,grant,mitigation,education,3.3806288
Italy / Ministry of Environment and Energy Security,grant,both,transport,3.373913
Belgium / Directorate General for Co-operation and Development,grant,adaptation,energy,3.3645116
Iceland / Ministry of Foreign Affairs,grant,mitigation,energy,3.3617312
Oak Foundation,grant,adaptation,agriculture_land_use,3.335215
Switzerland / Swiss Agency for Development and Co-operation,grant,mitigation,energy,3.320563
Spain / Spanish Agency for International Development Co-operation,grant,both,water,3.3128368
Switzerland / State Secretariat for Economic Affairs,grant,both,energy,3.2999444
Food and Agriculture Organisation / Core resources - developmental,grant,adaptation,agriculture_land_use,3.2897982
"France / Ministry of Economy, Finance and Industry",grant,adaptation,agriculture_land_use,3.286678
Italy / Agenzia italiana per la cooperazione allo sviluppo,grant,mitigation,water,3.2746896
"Germany / Federal Ministry for the Enviroment, Nature Conservation, Nuclear Safety and Consumer Protection",grant,mitigation,finance_policy,3.2704484000000003
Korea / Ministry of Foreign Affairs and Trade,grant,both,finance_policy,3.270159
United Kingdom / Department for Environment Food and Rural Affairs,grant,both,energy,3.24652
Italy / Ministry of Environment and Energy Security,grant,adaptation,transport,3.2441780000000002
Austria / Federal Ministry of Finance,other,mitigation,energy,3.219424
Australia / Australian Government,grant,both,buildings,3.1888464000000005
Japan / Japanese International Co-operation Agency,grant,adaptation,energy,3.1884512000000003
Food and Agriculture Organisation / Core resources - developmental,grant,both,other,3.1835038
Austria / Austrian Development Agency,grant,adaptation,transport,3.1807812
Belgium / Flanders Official Regional Ministries,grant,adaptation,other,3.1436626
Germany / Federal Ministry for Economic Affairs and Climate Action,grant,both,industry_mining,3.0705180000000003
