regime,mean_mn_gbp,p5_mn_gbp,p50_mn_gbp,p95_mn_gbp
regime_a_runoff,2854.6066661555965,2589.4126330774266,2851.737680344746,3122.086265336041
regime_b_refinance,11727.66254396331,9817.803813321272,11724.53522295957,13603.61777107065
