year,issued_notional_mn_gbp
2025,1522.0
2026,350.0
2027,729.0
2028,0.0
2029,1360.0
2030,500.0
2031,844.0
2032,1600.0
2033,700.0
2034,600.0
2035,815.0
2036,0.0
2037,0.0
2038,0.0
2039,50.0
2040,0.0
2041,100.0
2042,0.0
2043,0.0
2044,0.0
2045,1522.0
2046,350.0
2047,729.0
2048,0.0
2049,1360.0
2050,500.0
2051,844.0
2052,1600.0
2053,700.0
2054,600.0
