scenario_id,year_2025,year_2026,year_2027,year_2028,year_2029,year_2030,year_2031,year_2032,year_2033,year_2034,year_2035,year_2036,year_2037,year_2038,year_2039,year_2040,year_2041,year_2042,year_2043,year_2044,year_2045,year_2046,year_2047,year_2048,year_2049,year_2050,year_2051,year_2052,year_2053,year_2054
0,0.046317882749614965,0.041914274689254905,0.044293046111484546,0.04526348138212863,0.046445384175499635,0.04566195367167102,0.040988283924350936,0.0387138557022747,0.027861736363854417,0.03624817102970076,0.023135550707279705,0.02743335455541911,0.0269599089112358,0.029035561469925593,0.020789423314037644,0.01769503595741699,0.012312603025288148,0.025715206146750998,0.029240865292422532,0.026638135538940764,0.02257066687414354,0.015821422535983974,0.022844438840880225,0.032484922891414504,0.03204562250086841,0.03956199434607012,0.033324541908139424,0.02772445393155414,0.028413609693171755,0.03491150284160494
1,0.042283779191630184,0.03758069352642937,0.04661232949109458,0.0445433380645941,0.053199217882593325,0.05583471716744933,0.0505607700904758,0.05495113055554141,0.060109049968160265,0.06475555909198633,0.06206061407692741,0.052706100306731424,0.0545235845808867,0.04616640645935616,0.037827381669892586,0.036481950177330004,0.035836371981542284,0.04224197876174748,0.044484849502134445,0.03977895366458703,0.028244964112333997,0.037275175769761804,0.021541162808141834,0.029007705253268328,0.03229922927669668,0.018818155800542562,0.031313009584423915,0.024293507232028916,0.019211225217987758,0.021912713363077103
2,0.04765508509777105,0.04987114264198528,0.04962594425069148,0.053841280364899755,0.05907876995488119,0.04068527321577406,0.03030569458562661,0.05105105766673947,0.04367489620793417,0.036086276195722,0.03583166820266456,0.037404537402826184,0.033359972865044454,0.031345766998856474,0.026796690912355477,0.018920254945184595,0.03899924864928414,0.04384795889232516,0.04096324526306631,0.03204313375891007,0.03594299145284853,0.04019339053931922,0.034640249001157974,0.03976913232901922,0.03647767015240708,0.0343681235009733,0.04072089567816743,0.03664941231271164,0.044821005214109005,0.027794763114951694
3,0.04822542565952531,0.048784620741884735,0.06464378829464652,0.061544395404170504,0.05075150524026952,0.044768330778845566,0.031783701060801174,0.035621311083613466,0.03585689771162456,0.0319912815220668,0.028834904768411027,0.02664472826031078,0.03266705785926094,0.0326693877396123,0.03343670063824136,0.028284339741202154,0.04954381798056699,0.018597436380808102,0.022961971387953008,0.028433012745037352,0.03216222870756684,0.02367350690486395,0.022609420971431447,0.027917594592859356,0.028313276753790986,0.022253440110440136,0.022717854472160785,0.034926945601103015,0.032990471818952066,0.03317635896022783
4,0.03955062594439016,0.029892833223804226,0.04589177269634214,0.020615139573099454,0.02930728315818621,0.03974519808762477,0.04107907556381362,0.04017350131314312,0.04165869502574739,0.0384551409014969,0.035829146218656696,0.03252213025104341,0.032644374003333906,0.030365398500754398,0.03288641742930491,0.0316959722166296,0.01991858383939185,0.02468549610676113,0.028596564904688457,0.011688424736973114,0.002255029848868235,0.021956241521866572,0.02664302195055173,0.03155382294305424,0.026439781115350794,0.05266998110525794,0.0587957526565201,0.052053050587611664,0.048180063289434055,0.034133874712054466
5,0.04149719298976472,0.051377860220690214,0.04595851850681857,0.04890704225821617,0.031232064050342997,0.03488788049123447,0.030401192328936344,0.035332346119764324,0.025820952007729676,0.03216126943730138,0.04203883615734077,0.03714181827543492,0.03700598057993739,0.027363614144934812,0.021531792206628417,0.022893913801223555,0.02151069084366558,0.021668922586508432,0.02412109420049372,0.02637970151558723,0.019185353233190726,0.01939570377799549,0.04426559860009761,0.038995000482091625,0.029198648068462396,0.02352378453433472,0.0189941526125097,0.02921172672363156,0.02595696287546708,0.03811946273778047
6,0.04578725271985353,0.04443141640593137,0.04135933267450489,0.033527798555751956,0.036941115969133846,0.049812633548327614,0.03454443261851122,0.03071518697460112,0.03650083130679548,0.03754960575214188,0.04309701260425965,0.03808504760832363,0.03800780030033006,0.04399878051078227,0.04972049257121986,0.050406912688482394,0.04084915555989868,0.03581670390062755,0.048007540306000386,0.04253937258513417,0.042146121553872755,0.043007090017655875,0.032659979573853526,0.042432907086594016,0.04897137070431745,0.03242833828577593,0.02771073776061153,0.036451478289271526,0.03045808801721399,0.04663567272057041
7,0.044455003733320925,0.03543156240576608,0.041811220800736834,0.030475531182245802,0.027812482685524057,0.01953296455186606,0.034205471845379073,0.04187806384877012,0.03714145599093184,0.042024333559584404,0.03913227387645269,0.035608299195623604,0.03208796529253544,0.03738030736262817,0.03533549442970765,0.029338782138295633,0.04937658982039651,0.042115339842241376,0.041869026023676904,0.030320200711288253,0.03158444404856216,0.03802047779852852,0.04052522396607582,0.04378190753516328,0.027620646272660636,0.008365348045032552,0.030547413566597036,0.02762608414880254,0.03431859633412184,0.03970094494750335
8,0.04535332803783881,0.05441319488025946,0.04368755470986922,0.041561190871782935,0.039879017498694415,0.026463584902353076,0.025933287351266394,0.033910728231407346,0.03766923396960242,0.028531433004262412,0.022272416466983164,0.009208843411596397,0.008657000984533838,0.03303286863648226,0.045805723127703965,0.022287201774142066,0.02620602085805284,0.03714154021457142,0.03258242836241304,0.030511976705563996,0.029079355275308607,0.02945617646924892,0.033473822642930806,0.035730348733785736,0.035670122956519584,0.02747036453033158,0.019942698268792188,0.015179598817823452,0.012118048768949648,0.015044053563704113
9,0.04284459972763093,0.048277653136562584,0.05573391247213163,0.0541868795724821,0.03609379964329944,0.04368069957289715,0.05137726210145964,0.0435561388820424,0.03696472124361461,0.04024982158446386,0.030453871981375225,0.03323458051167543,0.04023975616721058,0.041505053722027514,0.0412217870415383,0.02558131000057775,0.03749111695250551,0.03827769438001815,0.022748420717650354,0.0361363381872718,0.04078806852173004,0.046304632698019633,0.04713813855781288,0.0421527988156609,0.039481239190462356,0.03922048337923807,0.04079862674558104,0.03428457111018789,0.025359625988669955,0.02895425266529707
